intent,Rid,Request
atis_flight,144,what's the earliest flight from pittsburgh to baltimore on thursday morning
atis_flight,145,are there any flights from philadelphia to dallas which stop in atlanta
atis_flight,146,list all takeoffs and landings at general mitchell international
atis_flight,147,when is the first flight in the morning from boston to denver
atis_flight,148,show me the flights from san francisco to boston
atis_flight,149,what are the evening flights flying out of dallas and going to san francisco on american airlines
atis_flight,150,show me the flights from baltimore to philadelphia
atis_flight,151,show me the flights from philadelphia to dallas with one stop
atis_airfare,152,show me the cheapest one way fares from san diego to miami
atis_flight,153,show all flights from miami to jfk
atis_ground_service,154,tell me about ground transportation at san francisco
atis_flight,155,show me flights from philadelphia to oakland on friday
atis_flight,156,i want to make a trip from washington to san francisco
atis_flight,157,tell me the flights from dallas to baltimore
atis_flight,158,flying from pittsburgh to philadelphia on us air
atis_flight,159,what flights are there from milwaukee to phoenix on saturday
atis_aircraft,160,what's the next smallest plane after a turboprop
atis_flight,161,what is the first flight arriving in montreal from toronto friday
atis_aircraft,162,sure i'd like to determine what aircraft are use on july seventh leaving from boston and arriving in atlanta on july seventh
atis_flight,163,can you tell me about flights from san jose to nashville on saturday afternoon
atis_flight,164,morning flight from dallas to atlanta
atis_airline,165,which airlines fly between baltimore and san francisco
atis_flight,166,i'm flying from boston to dallas
atis_flight,167,show me flights from san francisco to seattle
atis_airfare,168,please find the cheapest fare from boston to san francisco
atis_flight,169,let's look at baltimore to philadelphia again
atis_flight,170,show me first class flights from pittsburgh to san francisco on friday
atis_ground_service,171,what transportation is available from the dallas airport to downtown
atis_flight,172,list all flights leaving denver on continental on sunday after 934 pm
atis_flight,173,i would like a flight between boston and atlanta on any day at one in the afternoon
atis_flight,174,is there a 4 o'clock flight from washington dc to denver
atis_abbreviation,175,what is as
atis_flight,176,first flights from pittsburgh to atlanta on a thursday
atis_flight,177,i would like a list of flights from pittsburgh to dallas
atis_flight,178,show me the flights from san francisco to newark that leave after 11 pm
atis_flight,179,what flights are available wednesday morning from boston to denver
atis_flight,180,flights from new york to miami
atis_flight,181,i would like a flight from boston to san francisco on august seventeenth
atis_airfare,182,show me the most expensive one way first class fare from baltimore to dallas
atis_flight,183,what afternoon flights are available between denver and dallas fort worth
atis_flight,184,information on american airlines flight from washington to philadelphia
atis_flight,185,show me flights from denver to washington dc on wednesdays
atis_flight,186,show all flights from denver to san francisco
atis_flight,187,what flights leave from phoenix
atis_flight,188,show me all the flights from denver to baltimore arriving may tenth
atis_flight,189,what are the flights from cleveland to indianapolis for wednesday the twelfth
atis_abbreviation,190,what does the fare code f mean
atis_ground_service,191,is there ground transportation from the pittsburgh airport to downtown pittsburgh
atis_flight,192,show me flights from boston to baltimore coach on wednesday about 12 noon
atis_flight,193,what is the earliest arrival in salt lake city of a flight from toronto
atis_flight,194,flights from atlanta august second
atis_ground_service,195,what kind of ground transportation is available in denver
atis_ground_service,196,what type of ground transportation is available between the airport and downtown san francisco
atis_flight,197,all flights from miami to new york
atis_flight,198,list all tuesday night flights from boston to denver
atis_flight,199,find travel arrangements for a round trip flight from dallas to pittsburgh
atis_ground_service,200,show me a list of ground transportation at denver
atis_flight,201,i'd like to fly united airlines from washington to denver
atis_flight,202,does us air fly from dc to dallas
atis_flight,203,i would like an american flight from toronto to san diego with a stopover in denver please
atis_flight,204,show me the economy flights from baltimore to dallas
atis_flight,205,on november twenty third what flights go from atlanta to denver on delta airlines
atis_flight,206,hello i'd like a delta flight from atlanta to boston
atis_flight,207,please give me the flights from boston to pittsburgh on thursday of next week
atis_flight,208,please give me flights from atlanta to boston on wednesday afternoon and thursday morning
atis_flight,209,i want to travel from pittsburgh to oakland around midnight could you give me the flights
atis_aircraft,210,i need to find a plane from boston to san francisco on friday
atis_flight,211,what is the first flight that travels from atlanta to baltimore that serves lunch
atis_flight,212,what flights are there between washington dc and san francisco after 6 pm on wednesday
atis_flight,213,morning flights from pittsburgh to atlanta on wednesday
atis_flight,214,what flights are available from pittsburgh to boston on wednesday of next week
atis_flight,215,i would like a flight from atlanta to denver
atis_flight,216,i need a flight from long beach to st. louis stopping in dallas the flight should also serve lunch
atis_flight,217,show me flights between new york city and las vegas on sunday
atis_flight,218,looking for a flight from dc to minnesota
atis_flight,219,i need a flight from st. petersburg to miami for thursday
atis_flight,220,show me the evening flights from philadelphia to atlanta
atis_flight,221,i would like information on flights leaving atlanta in the afternoon arriving in dallas
atis_flight,222,now i need a flight on tuesday from phoenix to detroit
atis_flight_time,223,show me times for flights from san francisco to atlanta
atis_flight,224,i need a flight leaving pittsburgh next monday arriving in fort worth before 10 am
atis_flight,225,what are the flights from nashville to tacoma on tuesday the eighteenth of may
atis_flight,226,flights from newark new jersey to cleveland ohio
atis_ground_service,227,i need your help with information on ground transportation from the airport in philadelphia to downtown
atis_flight,228,do you have any flights from chicago to indianapolis
atis_flight,229,please list all flights on united airlines out of denver before noon
atis_flight,230,list the flights from dallas to baltimore
atis_flight,231,give me the flights from washington dc to philadelphia for december second
atis_flight,232,what are the round trip flights from philadelphia to san francisco
atis_flight,233,find a flight between denver and oakland the flight should be in the afternoon and arrive close to 5 pm the flight should be nonstop
atis_flight,234,flights from la guardia to jfk
atis_flight,235,please list all the arriving and departing flights from general mitchell international
atis_airline,236,what airline stands for hp
atis_flight,237,what flights from washington to toronto
atis_flight,238,what flights from washington dc to toronto
atis_flight,239,please list the monday morning flights from kansas city to atlanta
atis_flight,240,show me all the flights on delta airlines and twa that go to atlanta in the morning
atis_flight,241,flights from atlanta to dallas in the afternoon
atis_flight,242,cheapest flight from memphis to miami
atis_flight,243,show me flights from denver to san francisco on wednesday
atis_flight,244,what flights does delta have from denver to dallas after 5
atis_ground_service,245,please give ground transportation at denver airport
atis_flight,246,what flights go from pittsburgh to denver after 2 pm
atis_flight,247,what flights are available from pittsburgh to baltimore on july twenty fifth 1991
atis_flight,248,i need a flight from boston to san francisco leaving in the afternoon and arriving in the evening thank you
atis_flight,249,flights between tampa and st. louis
atis_flight,250,which flights depart los angeles destination charlotte that leave on a monday morning
atis_flight,251,for each airline flying between boston and san francisco what is the earliest flight
atis_flight,252,i would like a flight from washington to boston on august twentieth at 324 pm
atis_flight,253,show morning flights from philadelphia to dallas
atis_flight,254,list all round trip flights from indianapolis to orlando departing either on december twenty seventh or on december twenty eighth
atis_flight,255,i want a flight from houston to memphis on tuesday morning
atis_flight,256,show me cheap flights from baltimore to dallas
atis_airfare,257,lowest fare from san francisco to orlando
atis_flight,258,is there a flight from charlotte to newark on tuesday evening
atis_flight,259,show me all the delta flights leaving pittsburgh between 12 and 4 in the afternoon
atis_flight,260,list all flights from minneapolis to long beach on saturday
atis_flight,261,flights from montreal
atis_flight,262,does midwest express serve charlotte
atis_flight,263,what flights are available wednesday afternoon from denver to san francisco
atis_flight,264,what flights depart from pittsburgh and arrive in oakland california
atis_flight,265,show me the flights from tacoma to miami after 6 pm
atis_flight,266,what flights are there from milwaukee to phoenix on saturday
atis_flight,267,is there a flight on continental airlines from boston to denver
atis_quantity,268,how many united flights are there to san francisco
atis_flight,269,give me a flight from baltimore to newark that arrives as early as possible
atis_flight,270,what flights leave from newark to los angeles in the afternoon
atis_airfare,271,round trip fares from denver to philadelphia less than 1000 dollars
atis_flight,272,i want to leave from philadelphia and go to atlanta baltimore and boston please list these flights
atis_flight,273,find me the earliest flight from boston to atlanta and the latest return to boston on the same day
atis_flight,274,list the delta airlines flights from boston to philadelphia
atis_flight,275,what is the least expensive flight from pittsburgh to atlanta leaving on october fifth
atis_airfare,276,how much does flight dl 402 from denver to philadelphia cost
atis_flight,277,give me the cheapest one way flights between boston and philadelphia which arrive after noon on a tuesday
atis_ground_service,278,list ground transportation in detroit
atis_quantity,279,how many united flights are there from san francisco please
atis_flight,280,on april sixth i would like to book an early morning flight from tampa to charlotte
atis_ground_service,281,what type of ground transportation is available at logan airport
atis_flight,282,a breakfast flight from denver to san francisco please
atis_flight,283,i need a flight from atlanta to baltimore nonstop arriving at 7 pm please
atis_flight,284,flights between new york and miami
atis_flight,285,give me a flight from philadelphia to denver on sunday
atis_airfare,286,round trip fares from baltimore to philadelphia under 1000 dollars
atis_flight,287,i need to go from boston to denver and then to san francisco
atis_flight,288,do you have a flight from atlanta to baltimore nonstop on a boeing 757 arriving baltimore around 7 pm
atis_flight,289,show me the flights from dallas to baltimore at economy level
atis_flight,290,show me all flights from san francisco to boston philadelphia or baltimore
atis_flight,291,is there a flight in the afternoon from philadelphia that arrives in the evening in denver
atis_flight,292,show me all flights from denver to san francisco
atis_quantity,293,how many flights does american airlines have with a class of service code f
atis_flight,294,show me the flights from baltimore to seattle
atis_flight,295,what is the cheapest round trip flight from atlanta to pittsburgh
atis_flight,296,show me flights arriving in baltimore from pittsburgh between 4 and 5 pm
atis_airfare,297,what is the first class fare on united flight 352 from denver to boston
atis_flight,298,what flights are available from boston to denver on wednesday in early morning
atis_flight,299,what is the cheapest flight from boston to bwi
atis_airfare,300,what is the thrift economy flight fare from washington to san francisco
atis_airfare,301,what would be cost of a round trip from pittsburgh to san francisco
atis_flight,302,flight from dallas to milwaukee
atis_flight,303,i want a flight from denver to pittsburgh then from pittsburgh to atlanta then from atlanta back to pittsburgh back to denver
atis_flight,304,what flights from kansas city to chicago arrive at chicago at 7 pm next wednesday
atis_airfare,305,what is the cost of a round trip ticket flying from boston to dallas dallas to oakland leaving july first
atis_flight,306,are there any flights from boston to san francisco which stop in washington dc
atis_aircraft,307,what kind of airplane is flight ua 270 from denver to philadelphia
atis_flight,308,list the flights arriving in atlanta from boston between 4 and 8 pm
atis_flight,309,i'd like to fly round trip from boston to pittsburgh
atis_airfare,310,what is the fare going from atlanta to boston one way on november seventh
atis_airfare,311,please give me round trip fares from baltimore to philadelphia
atis_ground_service,312,information on ground transportation from airport to downtown boston
atis_flight,313,do you have any flights from denver to baltimore via dallas
atis_flight,314,i want to fly from philadelphia to dallas and make a stopover in atlanta
atis_flight,315,show me all flights both direct and connecting to either san francisco or oakland from boston that arrive before 2 pm
atis_flight,316,all flights from montreal less than 150 dollars
atis_abbreviation,317,what does fare code y mean
atis_flight,318,what flights go from newark to boston after 5 pm
atis_flight,319,show me all connecting flights on united airlines between boston and san francisco
atis_flight,320,i need a flight from indianapolis to houston on twa
atis_flight,321,next sunday flights from miami to cleveland after 1200 hours
atis_flight,322,show me the flights between boston and san francisco denver and san francisco boston and denver
atis_flight,323,show me the flights arriving in baltimore on june fifteenth leaving either from denver or dallas
atis_flight,324,what flights are provided by american airlines
atis_flight,325,what american airlines flights depart milwaukee for phoenix on saturday or sunday
atis_flight,326,i would like to book a flight from denver to pittsburgh on july fifteenth i'd like it to be the cheapest flight
atis_aircraft,327,show me the type of aircraft that cp uses
atis_flight,328,find a nonstop flight between boston and washington arriving in washington around 5 pm
atis_flight,329,from kansas city to salt lake city on delta arrive around 8 pm tomorrow
atis_flight,330,is there an atlanta flight to denver connecting
atis_flight,331,i would like a flight from boston to denver on monday
atis_ground_service,332,ground transportation denver
atis_flight,333,can you tell me the latest evening flight from atlanta to denver on july seventh
atis_flight,334,what flights from any city land at general mitchell international
atis_abbreviation,335,what does the meal code s stand for
atis_airfare,336,how much is a first class ticket from boston to san francisco
atis_flight,337,show me all flights that go from new york to miami on tuesday and go from miami to new york on sunday
atis_airline,338,which airline is the cheapest to fly from dallas to baltimore on december twenty fourth
atis_flight,339,flights from phoenix to las vegas
atis_aircraft,340,what kind of airplane goes from philadelphia to san francisco monday stopping in dallas in the afternoon first class flight
atis_flight,341,show me the flights from boston to san francisco leaving after 4 pm on friday
atis_flight,342,my question is i want to go to san francisco and i live in denver and i would like to fly on united airlines do you have an early flight
atis_flight,343,what are the flights from boston to washington
atis_flight,344,i'd like a flight tomorrow from columbus to houston with a stopover in nashville
atis_flight,345,show me all flights from dallas to pittsburgh on monday which leave after 8 o'clock pm
atis_airfare,346,show me the fares from washington to oakland
atis_flight,347,show me all flights from atlanta to san francisco
atis_flight,348,show me the flights from indianapolis to montreal
atis_flight,349,list nonstop flights on sunday from new york to las vegas and list nonstop flights on sunday from memphis to las vegas
atis_flight,350,what flight do you have from dallas to denver on august twenty seventh in the morning
atis_flight,351,i need a flight from philadelphia to boston
atis_flight,352,tuesday morning flights between charlotte and baltimore
atis_flight,353,show me the latest flight to love field
atis_flight,354,flights that go from oakland to philadelphia on friday
atis_flight,355,list all flights from denver to philadelphia
atis_flight,356,i'd like to fly early tomorrow from columbus to minneapolis
atis_flight_time,357,what is the schedule of ground transportation from washington airport into downtown
atis_airline,358,which airlines fly from boston to san francisco
atis_flight,359,flights from cleveland to kansas city
atis_flight,360,flights from denver to westchester county new york weekdays
atis_flight,361,i wish to fly from boston to washington please find an airline for me
atis_abbreviation,362,what is booking class c
atis_flight,363,list flights from pittsburgh to baltimore
atis_flight,364,i need to go to pittsburgh and denver
atis_aircraft,365,what type of airplane is an m80
atis_flight,366,what flights from chicago to kansas city in the morning
atis_flight,367,could you please show me all the weekday flights between denver and dallas
atis_flight,368,from pittsburgh to baltimore
atis_flight,369,list flights from phoenix to detroit on thursday june twenty fourth
atis_flight,370,does midwest express serve baltimore
atis_flight,371,what flights are there from dallas to houston
atis_flight,372,flight information on january twenty third from denver to san francisco
atis_airline,373,can you tell me what airline flies between denver and san francisco
atis_airfare,374,fares between atlanta and boston
atis_airfare,375,what's the cheapest fare from san francisco to baltimore
atis_flight,376,show me the flights from dallas to baltimore in first class
atis_airfare,377,what is the fare going from boston to dallas fort worth one way on november seventh
atis_flight,378,the flight will originate from boston
atis_flight,379,what is the latest flight from washington dc to denver
atis_flight,380,is there a flight departing from san francisco and arriving in oakland on november seventh in the evening
atis_flight,381,find a nonstop flight between denver and oakland leaving in the afternoon and arriving near 5 pm
atis_airfare,382,round trip fares from baltimore to philadelphia less than 1000 dollars round trip fares from denver to philadelphia less than 1000 dollars round trip fares from pittsburgh to philadelphia less than 1000 dollars
atis_flight,383,i would like information on any flights from san francisco to pittsburgh arriving in pittsburgh before 8 am tuesday morning
atis_flight,384,i need a reservation from baltimore to san francisco
atis_airfare,385,do you have the fare for traveling from oakland airport to oakland downtown
atis_airfare,386,find the cheapest one way fare from boston to san francisco
atis_flight,387,what are the flights from boston to san francisco
atis_airfare,388,cheapest fare from nashville to seattle
atis_flight,389,please list all flights on northwest and united airlines that go to denver
atis_flight,390,find a flight from san francisco to boston on wednesday
atis_flight,391,what flights leave after 7 pm from pittsburgh to philadelphia
atis_flight,392,can you list all flights from chicago to st. louis that depart after 12 noon
atis_flight,393,show flights leaving miami to cleveland on us air that leave after noon
atis_flight,394,now i want to see return flights from miami to new york
atis_flight,395,flights from baltimore to san francisco
atis_flight,396,please show me flights from san francisco to dallas
atis_flight,397,what are your flights from pittsburgh to baltimore
atis_flight,398,what is the latest flight i can take from washington to san francisco
atis_flight,399,show me the flights from boston to san francisco that stop in atlanta
atis_flight,400,list all the takeoffs and landings at general mitchell airport
atis_abbreviation,401,what is restriction ap57
atis_flight,402,delta flights from san francisco please
atis_airfare,403,show me prices of flights from baltimore to dallas
atis_flight,404,are there any flights from denver to atlanta with stops in pittsburgh
atis_abbreviation,405,explain restriction ap80
atis_airline,406,which airlines fly between boston and pittsburgh
atis_airline,407,which airline has the most business class flights
atis_flight,408,display all flights from baltimore to dallas on july twenty ninth
atis_flight,409,what flights are there from minneapolis to newark on continental
atis_flight,410,can you list all round trip flights from orlando to kansas city and then to minneapolis
atis_flight,411,i need a listing of flights from kansas city missouri to salt lake city utah
atis_airfare,412,what is the cheapest one way fare from atlanta to boston
atis_flight,413,do you have any flights from pittsburgh to boston on wednesday of next week in the morning
atis_flight_time,414,please tell me the times of the flights between boston and baltimore
atis_flight,415,american flights to houston from cincinnati
atis_ground_service,416,is there ground transportation from the boston airport to downtown boston
atis_flight,417,list all flights going from boston to atlanta before 7 o'clock am on thursday
atis_airfare,418,show me all the night fares between philadelphia and san francisco
atis_flight,419,what delta flights are available to fly from philadelphia to boston
atis_flight,420,okay give me the flights that leave denver after 7 pm next monday arriving in boston
atis_flight,421,give me the earliest flight tomorrow on united airlines from st. petersburg to milwaukee
atis_airfare,422,what is the cheapest fare that i can get between philadelphia and san francisco
atis_ground_service,423,i will be staying downtown in atlanta for two hours could you tell me what the ground transportation is available
atis_flight,424,flights from newark to boston
atis_flight,425,may i see all the flights from washington to san francisco please
atis_airfare,426,please list the cost of all flights from philadelphia to denver airport next sunday
atis_flight,427,what is the least expensive business class flight between atlanta and dallas
atis_airfare,428,what are the coach fares for flights from newark to la leaving after 3 pm
atis_flight,429,please tell me the flights between boston and philadelphia next thursday
atis_flight,430,show me the flights on sunday from tampa to charlotte
atis_flight,431,i would like an afternoon flight from denver colorado to dallas texas
atis_airline,432,which airlines serve denver
atis_flight,433,what is the latest flight from san francisco to washington
atis_abbreviation,434,what is ff
atis_flight,435,show me all flights from san francisco to washington dc area
atis_flight_time,436,can you tell me the time a flight would leave from atlanta to boston in the afternoon
atis_airline,437,is there an airline that services boston dc and dallas
atis_flight,438,flights from westchester county to st. paul
atis_airfare,439,i'd like a round trip ticket from los angeles to tacoma washington
atis_flight,440,i'm trying to find a flight from columbus to phoenix through cincinnati
atis_flight,441,what flights from phoenix to las vegas on saturday
atis_flight,442,pm flights leaving san francisco arriving boston
atis_flight,443,what is the earliest morning flight leaving boston for washington
atis_flight,444,i'm looking for a flight leaving denver traveling to atlanta and stopping at pittsburgh is this possible
atis_flight,445,where does canadian airlines international fly to
atis_flight,446,american flights from chicago to los angeles morning
atis_flight,447,round trip flights from salt lake city to cincinnati nonstop flights if possible
atis_flight,448,show me the earliest flight from denver to las vegas
atis_flight,449,i want to fly from atlanta to philadelphia nonstop
atis_flight,450,list flights from montreal to washington with the lowest one way fares that leaves on saturday
atis_flight,451,what flights go to san francisco from boston
atis_flight,452,i want to fly from boston to san francisco
atis_flight,453,i'd like to find a flight from miami florida to las vegas nevada that would arrive before 4 pm on sunday
atis_flight,454,i would like to book an early morning flight from tampa florida to charlotte north carolina on april sixth
atis_flight,455,i would like to fly from atlanta to philadelphia
atis_flight,456,please list the flights for me that leave dallas on tuesday morning and arrive in atlanta
atis_aircraft,457,what type of aircraft are used on flights from cleveland to dallas that leave before noon
atis_flight,458,list daily flights from boston to atlanta
atis_airline,459,which airline offers the cheapest rate going from dallas to baltimore on july fourth
atis_airline,460,does any airline have an early afternoon flight from boston to pittsburgh
atis_ground_service,461,rental cars in boston
atis_flight,462,i would like to see the flights from baltimore to philadelphia again
atis_flight,463,show me the flights from boston to san francisco stopping in dallas on american airlines
atis_flight,464,what is american's last flight from boston to washington dc on july twenty first
atis_ground_service,465,what is ground transportation between the san francisco airport and the city
atis_quantity,466,how many first class flights does united airlines have departing from boston today
atis_flight,467,flights from newark new jersey to cleveland ohio
atis_flight,468,which flights are between boston and baltimore washington
atis_quantity,469,list the total number of flights between all airports by delta
atis_flight,470,what flights do you have today from san francisco to pittsburgh
atis_flight,471,i would like a flight on continental airlines on august twentieth from washington to pittsburgh
atis_flight,472,chicago to milwaukee
atis_flight,473,what flights go from boston to washington next tuesday
atis_flight,474,i want to fly from denver to san francisco
atis_flight,475,may i have a listing of flights on monday from minneapolis to long beach california please
atis_airfare,476,what is the fare on the first flight from atlanta to denver on thursday morning
atis_flight,477,i'd like to see all the one way flights from denver to pittsburgh
atis_flight,478,what are my choices of flights leaving early afternoon from minneapolis to indianapolis
